Asset ID,Title,Release,Genre,Director,Cast,Short Synopsis,Rating,Runtime,HD,Avail Start,Avail End,Ad Breaks
2500182,DR. T AND THE WOMEN,2000,"Comedy, Romance, Drama",Robert Altman,"Richard Gere, Helen Hunt, Farrah Fawcett, Laura Dern, Shelley Long, Tara Reid, Kate Hudson, Liv Tyler, Robert Hays, Matt Malloy, Andy Richter, Lee Grant, Janine Turner, Holly Pelham, Jeanne Evans, Ramsey Williams, Dorothy Deavers, Ellen Locy, Cameron","A handsome gynecologist (Richard Gere) in the throes of a mid-life crisis has as much trouble with his family's lives as with his own. Luckily, he discovers a woman (Helen Hunt) who may hold the answers to his problems.",R,122,Yes,01-03-2022,31-03-2022,"00:13:04:27,00:24:26:03,00:35:27:01,00:47:27:02,00:58:07:14,01:10:52:06,01:27:04:23,01:37:41:11,01:49:31:04"
9380861,"MAID, THE",1991,"Comedy, Romance",Ian Toynton,"Martin Sheen, Jacqueline Bisset, Jean-Pierre Cassel, Victoria Shalet, James Faulkner, Isabelle Guiard, Dominic Gould, Catherine Lachens, Joe Cosgrove, Carina Barone, Jerry Di Giacomo, Jean Martin, Philippe Dehesdin, Catherine Alcover, Rémy Burkel","An American businessman in Paris poses as a cleaner in order to get closer to a wealthy woman he has his sights set on, unaware that she is actually the president of the bank he is soon to start work in.",PG,90,Yes,01-03-2022,31-03-2022,"00:10:18:00,00:23:09:00,00:33:30:00,00:44:15:00,00:54:48:00,01:05:09:00,01:15:33:00"
3690008,FIRST BORN,2007,"Mystery, Horror, Drama",Isaac Webb,"Elisabeth Shue, Steven Mackintosh, Kathleen Chalfant, Khandi Alexander, Anne Wolf",A woman who wanted nothing more in life than to become a mother finds her sanity slipping after the birth of her child in a terrifying look at the horrors of parenthood starring Academy Award nominee Elisabeth Shue.,PG-13,95,Yes,01-03-2022,31-03-2022,"00:10:57:16,00:21:39:20,00:33:00:01,00:43:29:29,00:54:28:09,01:06:51:01,01:19:23:07"
3340735,MY SUMMER PRINCE,2016,"Comedy, Romance",Peter Sullivan,"Taylor Cole, Jack Turner, Lauren Holly","PR crisis manager Deidre and her assistant Mandy fly in when rebellious royal Prince Colin is arrested in small-town Idaho. But when Deidre faces her own fiasco, Mandy finds herself with unexpected career (and romantic) opportunities.",TV-G,84,Yes,01-03-2022,31-03-2022,"00:11:08:12,00:23:13:04,00:34:23:15,00:45:41:10,00:56:36:14,01:07:10:04,01:18:42:04"
3340802,PAPER HEART,2009,"Drama, Documentary, Romance, Comedy",Nicholas Jasenovec,"Charlyne Yi, Michael Cera, Jake Johnson","Charlyne Yi embarks on a quest to make a documentary about the one subject she doesn’t understand: Love. When she meets a boy after her own heart (Michael Cera), things get interesting.",PG-13,88,Yes,01-03-2022,31-03-2022,"00:10:04:00,00:20:08:00,00:32:59:00,00:42:33:00,00:54:18:00,01:05:12:00,01:16:16:00"
9170005,KICKBOXER,1989,"Sports, Action, Adventure, Thriller","Mark DiSalle, David Worth","Jean-Claude Van Damme, Dennis Alexio, Dennis Chan, Haskell Anderson, Rochelle Ashana, Michel Qissi, Ka Ting Lee, Richard Foo, Ricky Liu, Ho Ying Sin, Tony Chan, Brad Kerner, Dean Harrington, Mark DiSalle, Richard Santoro, Louis Roth, Nickolas James","After kickboxing champ Eric Sloane (Dennis Alexio) is crippled in the ring by the evil Tong Po, Eric's younger brother, Kurt (Jean Claude Van Damme), seeks vengeance.",R,97,Yes,01-03-2022,31-03-2022,"00:11:17:00,00:21:00:00,00:32:12:00,00:42:15:00,00:53:01:00,01:03:21:00,01:13:15:00,01:23:10:00"
3370156,MY BLUEBERRY NIGHTS,2008,"Romance, Drama",Kar Wai Wong,"Jude Law, Natalie Portman, Norah Jones, Chad R. Davis, Rachel Weisz",A young woman takes a soul-searching journey across America to resolve her questions about love while encountering a series of offbeat characters along the way.,PG-13,95, ,01-03-2022,31-03-2022,"00:10:30:00,00:24:03:00,00:38:45:00,00:50:26:00,01:02:36:00,01:12:56:00,01:22:05:00"
2550001,"BETTER LIFE, A",2011,Drama,Chris Weitz,"Demian Bichir, Eddie 'Piolin' Sotelo, Joaquín Cosio, José Julián, Nancy Lenehan, Gabriel Chavarria, Bobby Soto, Chelsea Rendon, Trampas Thompson, Tim Griffin, Valorie Hubbard, Dolores Heredia, Isabella Rae Thomas, Carlos Linares, Robert Peters","An illegal immigrant, who struggles to give his teenage son a better life by working as a gardener in Los Angeles, is determined to do whatever it takes to move out of the city and get his son away from gangs and into a decent school.",PG-13,98,Yes,01-03-2022,31-03-2022,"00:11:14:00,00:21:31:00,00:32:21:00,00:43:38:00,00:55:29:00,01:06:40:00,01:16:27:00,01:25:29:00"
3000149,CADENCE,1991,Drama,Martin Sheen,"Charlie Sheen, Martin Sheen, Laurence Fishburne, Michael Beach, Ramon Estevez, John Toles, F. Murray Abraham, Blu Mankuma, Harry Stewart, James Marshall","As punishment for drunken, rebellious behavior, a young white soldier (Charlie Sheen) is thrown into a stockade populated entirely by black inmates who are lead by Stokes (Laurence Fishburne) and overseen by a sadistic Sergeant (Martin Sheen).",PG-13,97,No,01-03-2022,31-03-2022,"00:10:31:15,00:22:29:04,00:36:03:04,00:48:04:17,00:58:19:00,01:10:19:05,01:21:16:03"
9380061,CUBE,1998,"Sci-Fi, Fantasy, Drama, Suspense, Horror, Thriller",Vincenzo Natali,"Nicole DeBoer, Nicky Guadagni, David Hewlett, Andrew Miller, Julian Richings, Wayne Robson, Maurice Dean Wint","A group of six complete strangers of widely varying personalities and backgrounds are involuntarily placed in an endless maze containing deadly traps. With no memory of how they arrived in the maze, they must find a way out.",R,90,Yes,01-03-2022,31-03-2022,"00:11:57:00,00:23:58:00,00:34:00:00,00:44:18:00,00:54:59:00,01:05:42:00,01:16:08:00"
